Hugo_Symbol	Entrez_Gene_Id	P01_Pri	P01_Rec	P02_Pri	P02_Rec	P04_Pri	P04_Rec1	P04_Rec2	P04_Rec3	P05_Pri	P05_Rec	P06_Pri	P06_Rec	P07_Pri	P07_Rec	P08_Pri	P08_Rec	P09_Pri	P09_Rec	P10_Pri	P10_Rec	P11_Pri	P11_Rec	P12_Pri	P12_Rec	P13_Pri	P13_Rec	P15_Pri	P15_Rec	P16_Pri	P16_Rec	P17_Pri_A	P17_Pri_B	P17_Pri_C	P17_Rec1_A	P17_Rec1_B	P17_Rec1_C	P17_Rec1_D	P18_Pri_A	P18_Pri_B	P18_Pri_C	P18_Pri_D	P18_Rec	P21_Pri	P21_Rec	P24_Pri	P24_Rec1	P24_Rec2	P25_Pri	P25_Rec	P26_Pri_A	P26_Pri_B	P26_Rec1_A	P26_Rec1_B	P27_Pri_A	P27_Pri_B	P27_Rec1_A	P27_Rec1_B	P28_Pri	P28_Rec	P29_Pri	P29_Rec
ACAP3	116983	0.004	0.459	0.002	-0.043	-0.009	-0.801	0.007	-0.86	-0.061	-0.834	0.007	-0.049	-0.011	0.001	0.327	-0.053	0.003	-0.92	0.003	-0.688	0.007	0.005	-0.796	-0.727	0.001	0.047	-0.705	-0.885	-0.003	-0.457	0.003	-0.816	0	-0.007	-0.001	0	-0.008	-0.897	-0.856	-0.697	-0.496	-0.797	-0.874	-0.861	-0.002	-0.747	-0.541	-0.876	-0.01	-0.804	0.005	-0.004	-0.024	0.004	0.027	-0.735	0.011	0.003	-0.934	-0.619	-0.032
ACTRT2	140625	0.004	0.459	0.002	-0.043	-0.009	-0.801	0.007	-0.86	-0.061	-0.834	0.007	-0.049	-0.011	0.001	0.327	-0.053	0.003	-0.92	0.003	-0.688	0.007	0.005	-0.796	-0.727	0.001	0.047	-0.705	-0.885	-0.003	-0.457	0.003	-0.816	0	-0.007	-0.001	0	-0.008	-0.897	-0.856	-0.697	-0.496	-0.797	-0.874	-0.861	-0.002	-0.747	-0.541	-0.876	-0.01	-0.804	0.005	-0.004	-0.024	0.004	0.027	-0.735	0.011	0.003	-0.934	-0.619	-0.032
AGRN	375790	0.004	0.459	0.002	-0.043	-0.009	-0.801	0.007	-0.86	-0.061	-0.834	0.007	-0.049	-0.011	0.001	0.327	-0.053	0.003	-0.92	0.003	-0.688	0.007	0.005	-0.796	-0.727	0.001	0.047	-0.705	-0.885	-0.003	-0.457	0.003	-0.816	0	-0.007	-0.001	0	-0.008	-0.897	-0.856	-0.697	-0.496	-0.797	-0.874	-0.861	-0.002	-0.747	-0.541	-0.876	-0.01	-0.804	0.005	-0.004	-0.024	0.004	0.027	-0.735	0.011	0.003	-0.934	-0.619	-0.032
ANKRD65	441869	0.004	0.459	0.002	-0.043	-0.009	-0.801	0.007	-0.86	-0.061	-0.834	0.007	-0.049	-0.011	0.001	0.327	-0.053	0.003	-0.92	0.003	-0.688	0.007	0.005	-0.796	-0.727	0.001	0.047	-0.705	-0.885	-0.003	-0.457	0.003	-0.816	0	-0.007	-0.001	0	-0.008	-0.897	-0.856	-0.697	-0.496	-0.797	-0.874	-0.861	-0.002	-0.747	-0.541	-0.876	-0.01	-0.804	0.005	-0.004	-0.024	0.004	0.027	-0.735	0.011	0.003	-0.934	-0.619	-0.032
ATAD3A	55210	0.004	0.459	0.002	-0.043	-0.009	-0.801	0.007	-0.86	-0.061	-0.834	0.007	-0.049	-0.011	0.001	0.327	-0.053	0.003	-0.92	0.003	-0.688	0.007	0.005	-0.796	-0.727	0.001	0.047	-0.705	-0.885	-0.003	-0.457	0.003	-0.816	0	-0.007	-0.001	0	-0.008	-0.897	-0.856	-0.697	-0.496	-0.797	-0.874	-0.861	-0.002	-0.747	-0.541	-0.876	-0.01	-0.804	0.005	-0.004	-0.024	0.004	0.027	-0.735	0.011	0.003	-0.934	-0.619	-0.032
ATAD3B	83858	0.004	0.459	0.002	-0.043	-0.009	-0.801	0.007	-0.86	-0.061	-0.834	0.007	-0.049	-0.011	0.001	0.327	-0.053	0.003	-0.92	0.003	-0.688	0.007	0.005	-0.796	-0.727	0.001	0.047	-0.705	-0.885	-0.003	-0.457	0.003	-0.816	0	-0.007	-0.001	0	-0.008	-0.897	-0.856	-0.697	-0.496	-0.797	-0.874	-0.861	-0.002	-0.747	-0.541	-0.876	-0.01	-0.804	0.005	-0.004	-0.024	0.004	0.027	-0.735	0.011	0.003	-0.934	-0.619	-0.032
ATAD3C	219293	0.004	0.459	0.002	-0.043	-0.009	-0.801	0.007	-0.86	-0.061	-0.834	0.007	-0.049	-0.011	0.001	0.327	-0.053	0.003	-0.92	0.003	-0.688	0.007	0.005	-0.796	-0.727	0.001	0.047	-0.705	-0.885	-0.003	-0.457	0.003	-0.816	0	-0.007	-0.001	0	-0.008	-0.897	-0.856	-0.697	-0.496	-0.797	-0.874	-0.861	-0.002	-0.747	-0.541	-0.876	-0.01	-0.804	0.005	-0.004	-0.024	0.004	0.027	-0.735	0.011	0.003	-0.934	-0.619	-0.032
AURKAIP1	54998	0.004	0.459	0.002	-0.043	-0.009	-0.801	0.007	-0.86	-0.061	-0.834	0.007	-0.049	-0.011	0.001	0.327	-0.053	0.003	-0.92	0.003	-0.688	0.007	0.005	-0.796	-0.727	0.001	0.047	-0.705	-0.885	-0.003	-0.457	0.003	-0.816	0	-0.007	-0.001	0	-0.008	-0.897	-0.856	-0.697	-0.496	-0.797	-0.874	-0.861	-0.002	-0.747	-0.541	-0.876	-0.01	-0.804	0.005	-0.004	-0.024	0.004	0.027	-0.735	0.011	0.003	-0.934	-0.619	-0.032
B3GALT6	126792	0.004	0.459	0.002	-0.043	-0.009	-0.801	0.007	-0.86	-0.061	-0.834	0.007	-0.049	-0.011	0.001	0.327	-0.053	0.003	-0.92	0.003	-0.688	0.007	0.005	-0.796	-0.727	0.001	0.047	-0.705	-0.885	-0.003	-0.457	0.003	-0.816	0	-0.007	-0.001	0	-0.008	-0.897	-0.856	-0.697	-0.496	-0.797	-0.874	-0.861	-0.002	-0.747	-0.541	-0.876	-0.01	-0.804	0.005	-0.004	-0.024	0.004	0.027	-0.735	0.011	0.003	-0.934	-0.619	-0.032
C1orf159	54991	0.004	0.459	0.002	-0.043	-0.009	-0.801	0.007	-0.86	-0.061	-0.834	0.007	-0.049	-0.011	0.001	0.327	-0.053	0.003	-0.92	0.003	-0.688	0.007	0.005	-0.796	-0.727	0.001	0.047	-0.705	-0.885	-0.003	-0.457	0.003	-0.816	0	-0.007	-0.001	0	-0.008	-0.897	-0.856	-0.697	-0.496	-0.797	-0.874	-0.861	-0.002	-0.747	-0.541	-0.876	-0.01	-0.804	0.005	-0.004	-0.024	0.004	0.027	-0.735	0.011	0.003	-0.934	-0.619	-0.032
