Composite.Element.REF	P01_Pri	P01_Rec	P02_Pri	P02_Rec	P04_Pri	P04_Rec1	P04_Rec2	P04_Rec3	P05_Pri	P05_Rec	P06_Pri	P06_Rec	P07_Pri	P07_Rec	P08_Pri	P08_Rec	P09_Pri	P09_Rec	P10_Pri	P10_Rec	P11_Pri	P11_Rec	P12_Pri	P12_Rec	P13_Pri	P13_Rec	P15_Pri	P15_Rec	P16_Pri	P16_Rec	P17_Pri_A	P17_Pri_B	P17_Pri_C	P17_Rec1_A	P17_Rec1_B	P17_Rec1_C	P17_Rec1_D	P18_Pri_A	P18_Pri_B	P18_Pri_C	P18_Pri_D	P18_Rec	P21_Pri	P21_Rec	P24_Pri	P24_Rec1	P24_Rec2	P25_Pri	P25_Rec	P26_Pri_A	P26_Pri_B	P26_Rec1_A	P26_Rec1_B	P27_Pri_A	P27_Pri_B	P27_Rec1_A	P27_Rec1_B	P28_Pri	P28_Rec	P29_Pri	P29_Rec
YWHAE|14-3-3_epsilon	0.8265	-0.0071	-0.6973	0.1569	0.2083	1.3591	1.7449	0.1791	-0.4031	-1.2219	-2.1061	-1.777	-1.5456	-0.2229	-1.8814	0.7257	0.906	0.1053	-1.2068	0.9902	-0.1238	-1.5132	0.6367	0.204	2.1415	1.8654	0.4626	1.8251	0.023	0.2708	1.0176	-0.1936	-0.2773	-0.0082	0.759	1.2348	2.0818	-0.0386	-0.5339	-0.0285	-0.6971	-0.7133	-0.0559	1.2526	-0.278	2.5766	1.4044	-0.6776	-0.7839	1.0419	-1.042	1.5373	-0.3021	0.0431	1.016	0.1803	-0.635	-0.5471	-0.2073	-0.4876	-1.3464
YWHAZ|14-3-3_zeta	-0.3833	-0.2151	-0.1381	-0.2076	-0.5587	-0.4391	-1.2439	-2.3887	-0.7486	0.8537	1.3521	0.2543	1.3012	-1.4648	4.6333	-0.8457	1.4826	-0.1444	-0.3538	-1.5754	-0.2246	-0.1602	-0.0643	-0.6476	-1.9093	-0.6131	0.4622	-1.5859	1.12	-1.496	-1.0935	-0.0442	-0.3003	-0.8814	-0.1839	0.4218	1.1204	-0.5279	-0.3619	-0.2225	-0.6749	-0.3494	0.0667	0.3142	0.2449	1.5966	0.7006	-0.2801	-0.051	1.045	-1.0787	-1.261	-1.1027	0.3742	-1.1469	0.5504	-0.2664	-0.7723	-0.016	-0.4838	0.018
EIF4EBP1|4E-BP1	-1.5843	0.0332	0.8506	-0.3269	1.2466	-0.4694	0.647	-0.998	0.0778	-0.926	0.862	5e-04	0.7542	1.0413	0.5871	-0.4205	-1.3205	-0.1131	0.5791	0.6229	-0.7264	2.1855	0.0705	-0.5259	0.6856	0.2443	-0.0371	-0.1035	-1.525	0.1477	0.3901	0.0888	-1.0005	2.0121	-0.8388	0.9526	-0.639	0.0552	0.0035	-0.02	0.0724	-0.1059	-0.4162	0.0213	-0.4319	-2.6658	-0.1943	-0.2748	-0.5701	-0.5033	1.4005	-0.9661	0.5418	-0.6391	0.5535	0.5373	-0.0706	0.3015	-0.5315	-0.2615	0.6924
EIF4EBP1|4E-BP1_pS65	-0.5835	0.3643	0.0848	-1.3221	1.322	-1.5754	-0.4324	-0.2248	-1.0184	-0.6625	-0.6541	-0.5474	-0.6836	-0.8265	1.678	-0.447	2.3633	-0.7253	-0.1527	-0.1105	-1.3428	0.3473	0.1533	-0.9261	0.1396	0.0821	-0.2637	-1.1802	0.171	-1.4284	-0.9117	0.3292	-1.3793	0.8969	-0.593	-0.5992	0.8425	-1.4388	-0.1525	0.3363	-0.0533	0.7775	-0.9876	-0.3209	-0.0499	-0.4284	-0.4631	-0.7425	-0.8773	0.5545	0.1212	-2.0968	-1.4123	0.3504	-0.6993	-1.4499	0.1624	0.1006	0.5672	-1.0831	-0.5295
EIF4EBP1|4E-BP1_pT37_T46	-0.1025	0.9255	0.959	-1.4508	1.075	-0.8795	0.9733	0.3999	-0.1986	-0.226	-0.7036	0.0502	0.1752	-0.0127	2.3723	0.263	-1.7958	0.1083	0.7787	1.2405	-0.781	1.0424	-0.6315	0.0752	0.0399	-0.3106	-1.2869	0.5451	-0.3609	0.4322	1.2449	0.3963	-0.6939	2.0553	-0.8357	-0.3071	-1.8189	-0.8562	0.5523	1.438	0.1221	1.014	-0.6113	-1.5811	0.0919	-0.8168	-2.0578	-0.1619	0.1196	-0.7982	1.3147	0.6596	-0.0719	-0.5661	-0.0881	-1.8187	0.6837	0.1303	0.4321	0.1778	-0.5983
EIF4EBP1|4E-BP1_pT70	-3.7341	-1.2448	0.0889	-0.9062	0.1165	0.0436	-1.3117	-0.032	0.2115	0.9526	1.7195	0.7072	1.0822	-1.0028	1.8227	0.2788	-0.5966	-0.4821	0.3631	-0.8799	0.6559	0.1219	-0.4784	-1.0647	-1.6067	-0.3893	-1.0138	0.1002	-1.1064	-1.3576	-0.6652	-0.1848	-0.8093	-1.0782	0.8104	1.0321	0.3079	-1.2536	-0.5264	-0.2987	-0.0093	0.6853	-0.8451	-0.0296	-0.3308	-0.3337	-1.2721	-1.0966	-0.8929	-0.5654	-0.7754	-0.4046	-1.3027	-0.633	-0.6417	-0.6279	0.2867	-0.3041	0.5139	-0.1886	0.5471
TP53BP1|53BP1	-2.0766	-0.0203	0.3968	-1.9923	0.4376	-1.9206	-0.3968	0.037	-0.8018	0.0122	-0.3135	-1.1629	0.5046	1.7027	-1.4214	0.0276	-1.1405	0.5729	-0.1199	0.5984	-0.4913	0.1897	0.1355	-0.3639	-0.2501	0.0287	0.9978	-0.6668	-0.4778	0.3456	0.5656	0.8119	1.1044	2.7468	-0.3471	0.1445	-0.9641	-0.9194	0.7173	0.9979	-0.5126	0.0965	-0.6228	0.6914	0.0971	-2.2184	-1.6071	-0.7597	-0.4636	-0.3741	1.0484	1.1457	0.7632	-0.846	1.6731	-0.1185	0.201	0.169	1.1208	0.2309	0.4261
ARAF|A-Raf_pS299	-0.4262	0.0477	-0.9426	0.4924	0.0954	1.1727	1.7696	0.143	-0.002	-0.9006	-1.2269	-1.4339	-2.0824	0.6394	-1.722	0.4877	1.0881	-1.0082	-0.8413	0.6745	0.8745	-1.31	2.0336	-0.2869	3.3342	1.2938	0.0713	2.1455	0.0112	0.0388	0.8017	-0.5048	-0.3032	-0.1102	1.22	0.2701	0.0127	1.1833	-0.5311	-0.2294	0.9023	0.3735	0.0355	-0.0888	-0.1807	0.2768	0.87	0.4172	-0.0542	-0.389	-1.0811	1.0196	-1.0409	-0.389	1.3686	-0.4552	-0.0187	0.6434	-1.3908	0.4335	-1.0906
ACACA|ACC1	-0.2546	0.6344	-0.1952	1.1142	1.5478	-0.9308	0.6501	0.8303	-0.4762	-1.0113	-2.2461	-1.6405	-0.2254	1.3542	-1.1155	-0.1367	0.859	0.012	-0.242	0.0999	-0.804	0.2246	0.3136	0.894	-1.1341	-1.0934	1.1771	0.5874	0.8155	0.1493	0.0822	1.3833	-0.1474	2.4503	0.0018	-0.0451	0.0321	-0.5806	0.4598	1.0031	-0.3775	1.0459	0.3393	0.5398	0.6481	-0.0219	-0.0138	-0.3736	-0.4489	0.8725	0.9528	1.2199	0.2804	0.1215	2.1895	-2.5302	-0.2814	-0.065	0.5998	-0.0912	-0.8691
ACACA ACACB|ACC_pS79	0.1412	-0.8501	0.0951	-1.416	2.0864	-1.169	0.5989	0.9309	-0.9926	-0.3715	-1.191	-1.2302	0.2986	1.8354	-1.2833	0.477	-0.726	0.8957	0.4149	0.8199	0.1063	1.0936	0.0311	0.1702	-0.1335	0.0732	0.0802	0.6466	0.07	0.7226	0.1909	0.6454	-0.3241	2.7874	-0.1976	0.3248	-1.2238	-0.5028	0.2947	1.3251	0.2482	0.8012	-0.0396	0.2036	0.5985	-0.717	-0.6175	-0.2218	-0.1525	0.5342	1.0351	1.5992	0.4181	0.0633	2.9124	-1.4357	0.3163	0.2652	1.2065	0.0682	-1.1927
